2010-04-24T15:01:12.600Z,2010,04,34.45,26.01,34.5,5.4,mwc,306,42.2,,,us,usp000hbuw,2016-11-10T02:27:27.738Z,Crete, Greece,earthquake,,,,,reviewed,ath,gcmt
2010-10-03T15:20:57.810Z,2010,10,34.927,26.541,10,5.3,mwc,233,50.9,,1.14,us,usp000hmj5,2016-11-10T02:34:11.144Z,Crete, Greece,earthquake,,,,,reviewed,us,gcmt
2011-02-28T07:49:07.000Z,2011,02,34.98,25.42,53,5.7,mwc,241,40.1,,,us,usp000hv5x,2015-05-13T18:53:59.000Z,Crete, Greece,earthquake,,,,,reviewed,ath,gcmt
2011-04-01T13:29:10.690Z,2011,04,35.662,26.56,59.9,6,mww,395,23.9,,,us,usp000hz2h,2015-05-13T18:53:59.000Z,Crete, Greece,earthquake,,,,,reviewed,ath,us
2011-05-19T20:39:03.330Z,2011,05,34.377,23.723,26,5.2,mwc,146,74.3,,1.16,us,usp000j1us,2014-11-07T01:44:52.569Z,Crete, Greece,earthquake,,9.6,,,reviewed,us,gcmt
2011-09-13T16:19:31.890Z,2011,09,34.409,23.722,41.2,5.2,mwc,224,51.8,,1.11,us,usp000j808,2014-11-07T01:45:53.374Z,Crete, Greece,earthquake,,3.6,,,reviewed,us,gcmt
2011-09-27T12:08:22.900Z,2011,09,34.52,23.78,28,5.3,mwc,289,41.4,,,us,usp000j8mm,2014-11-07T01:45:57.565Z,Crete, Greece,earthquake,,,,,reviewed,ath,gcmt
2011-11-23T12:17:51.280Z,2011,11,34.285,25.083,10,5.5,mwc,345,42.1,,1.03,us,usp000jba2,2015-03-24T02:19:02.877Z,Crete, Greece,earthquake,,,,,reviewed,us,gcmt
2012-01-26T04:24:58.300Z,2012,01,36.06,25.07,29,5.2,mb,315,22.1,,,us,usp000jdzp,2014-11-07T01:46:50.503Z,Dodecanese Islands, Greece,earthquake,,,,94,reviewed,ath,us
2012-01-27T01:33:24.000Z,2012,01,36.044,25.064,5.2,5.3,mwc,249,22.3,,,us,usp000je0w,2014-11-07T01:46:50.789Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,the,gcmt
2012-09-12T03:27:46.310Z,2012,09,34.783,24.11,32.4,5.5,mww,590,41.2,,0.89,us,usp000js6n,2015-03-24T02:06:52.937Z,Crete, Greece,earthquake,,3.3,,,reviewed,us,us
2013-04-06T11:26:07.360Z,2013,04,34.804,24.087,34.1,5.3,mb,341,41.1,,0.84,us,usb000g171,2015-01-30T09:53:04.022Z,60km SE of Palaiochora, Greece,earthquake,,3.7,,237,reviewed,us,us
2013-06-15T16:11:02.500Z,2013,06,34.4,25.02,10,6.2,mww,122,100,,,us,usc000hrl4,2015-01-30T04:04:46.759Z,61km S of Pirgos, Greece,earthquake,,,,,reviewed,ath,us
2013-06-16T21:39:05.780Z,2013,06,34.347,25.159,19,6,mww,611,42,,0.87,us,usc000hsdj,2015-01-30T04:16:10.436Z,81km S of Pirgos, Greece,earthquake,,,,,reviewed,us,us
2013-06-16T21:43:15.210Z,2013,06,34.326,24.998,10,5.1,mb,106,68,,1.17,us,usp000k19r,2014-11-07T01:51:05.263Z,Crete, Greece,earthquake,,,,63,reviewed,us,us
2013-10-12T13:11:53.350Z,2013,10,355.142,232.523,40,6.6,mww,,40,1.984,1.21,us,usb000kbn7,2017-10-11T20:41:10.500Z,31km W of Platanos, Greece,earthquake,,1.9,,,reviewed,us,us
2014-06-01T12:05:51.900Z,2014,06,347.337,246.177,30.6,5.1,mb,,,,0.95,us,usc000r9tn,2015-01-31T01:36:02.647Z,39km SSW of Tympakion, Greece,earthquake,,4.1,0.04,209,reviewed,ath,us
2014-10-03T22:20:45.530Z,2014,10,344.354,263.013,15.49,5.1,mww,,42,1.314,0.79,us,usb000simv,2014-12-23T01:42:00.040Z,74km SSE of Makry Gialos, Greece,earthquake,6.2,3.6,,,reviewed,us,us
2015-01-28T15:54:39.020Z,2015,01,344.562,250.882,37,5.1,mww,,42,0.845,0.78,us,usb000tixk,2015-04-24T16:54:51.040Z,60km S of Pirgos, Greece,earthquake,6.4,1.9,,,reviewed,us,us
2015-03-27T23:34:54.300Z,2015,03,357.086,266.225,66.96,5.2,mww,,41,0.467,1.01,us,us10001rdw,2015-06-12T01:53:25.040Z,58km WNW of Karpathos, Greece,earthquake,6.2,4.7,,,reviewed,us,us
2015-04-16T18:07:43.610Z,2015,04,351.891,268.235,20,6,mww,,25,0.451,0.83,us,us2000272b,2017-10-11T21:04:01.190Z,49km SW of Karpathos, Greece,earthquake,6,1.7,,,reviewed,us,us
2015-04-16T19:02:12.040Z,2015,04,350.647,268.768,10,5,mb,,51,0.534,0.94,us,us20002732,2015-06-26T23:15:54.040Z,57km SSW of Karpathos, Greece,earthquake,6.4,1.8,0.037,236,reviewed,us,us
2015-04-17T02:05:40.330Z,2015,04,350.337,267.848,15.38,5.3,mww,,49,0.597,0.83,us,us2000277l,2015-06-26T23:15:54.040Z,52km ESE of Palaikastron, Greece,earthquake,3.9,2.5,,,reviewed,us,us
