Putian,3190000,People's Republic of China,http://www.wikidata.org/entity/Q48
Datong,3160000,People's Republic of China,http://www.wikidata.org/entity/Q48
Shaoguan,3148000,People's Republic of China,http://www.wikidata.org/entity/Q48
Bazhong,3134000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhongshan,3121275,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhenjiang,3113384,People's Republic of China,http://www.wikidata.org/entity/Q48
Ürümqi,3112559,People's Republic of China,http://www.wikidata.org/entity/Q48
Wuzhou,3101000,People's Republic of China,http://www.wikidata.org/entity/Q48
Tongliao,3094600,People's Republic of China,http://www.wikidata.org/entity/Q48
Jaipur,3073350,India,http://www.wikidata.org/entity/Q48
Xinzhou,3067501,People's Republic of China,http://www.wikidata.org/entity/Q48
Buenos Aires,3063728,Argentina,http://www.wikidata.org/entity/Q18
Jinzhong,3060000,People's Republic of China,http://www.wikidata.org/entity/Q48
Addis Ababa,3041002,Ethiopia,http://www.wikidata.org/entity/Q15
Ningde,3030000,People's Republic of China,http://www.wikidata.org/entity/Q48
Giza,3021542,Egypt,http://www.wikidata.org/entity/Q15
Giza,3021542,Egypt,http://www.wikidata.org/entity/Q48
Meishan,3020000,People's Republic of China,http://www.wikidata.org/entity/Q48
Mashhad,3001184,Iran,http://www.wikidata.org/entity/Q48
Tieling,3000000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jinzhou,3000000,People's Republic of China,http://www.wikidata.org/entity/Q48
Shanwei,2990000,People's Republic of China,http://www.wikidata.org/entity/Q48
Sana'a,2957000,Yemen,http://www.wikidata.org/entity/Q48
Liupanshui,2955000,People's Republic of China,http://www.wikidata.org/entity/Q48
Quezon City,2936116,Philippines,http://www.wikidata.org/entity/Q48
Kiev,2935239,Ukraine,http://www.wikidata.org/entity/Q46
Dingxi,2930000,People's Republic of China,http://www.wikidata.org/entity/Q48
Salvador,2921087,Brazil,http://www.wikidata.org/entity/Q18
Xiangtan,2916000,People's Republic of China,http://www.wikidata.org/entity/Q48
Incheon,2913024,South Korea,http://www.wikidata.org/entity/Q48
Daqing,2904532,People's Republic of China,http://www.wikidata.org/entity/Q48
Bursa,2901396,Turkey,http://www.wikidata.org/entity/Q46
Bursa,2901396,Turkey,http://www.wikidata.org/entity/Q48
Nanping,2890000,People's Republic of China,http://www.wikidata.org/entity/Q48
Rome,2872800,Italy,http://www.wikidata.org/entity/Q46
Pyongyang,2863000,North Korea,http://www.wikidata.org/entity/Q48
